file_name frame_num class
38483 32 146
145581 43 135
141174 55 27
99589 47 35
113250 42 134
167621 37 55
54845 52 8
75667 47 67
49647 47 103
125430 32 19
208730 59 37
84072 41 166
182994 57 72
172203 37 106
161038 31 148
99565 60 166
165836 33 12
103873 53 70
50759 43 164
192951 30 173
173353 45 114
47885 53 106
5437 32 36
85127 67 105
207692 58 59
97957 39 12
37652 62 109
78346 45 73
32592 49 20
13321 33 135
118505 61 107
119984 50 87
51807 36 49
77759 38 145
165021 68 159
190451 34 115
39044 36 74
209357 28 14
156504 24 12
214564 44 28
120077 64 66
110064 57 68
118741 63 160
179555 29 9
61788 69 30
4322 50 53
120002 45 45
26316 28 162
4380 33 9
64702 57 104
151177 58 93
2562 66 5
9406 34 100
124733 57 160
20504 56 48
129475 52 115
99566 42 93
30015 29 6
167442 35 114
199732 61 16
58164 48 31
69018 47 53
80991 27 67
182019 60 167
194475 34 151
201515 38 11
80282 52 65
116915 52 29
203589 38 56
73211 65 61
172991 43 141
37690 37 11
76359 55 47
26810 36 154
112025 54 44
187670 54 48
158433 36 31
77310 26 151
74772 30 114
180753 37 143
21778 59 100
59717 51 45
126183 52 151
48013 56 167
179992 31 6
156851 33 83
13828 56 12
63551 41 16
62092 72 164
172814 43 41
134871 21 139
75838 49 101
96735 49 49
211038 36 155
200712 39 28
52084 46 106
2231 49 22
218955 20 155
131350 36 3
91646 55 93
154215 52 166
55281 45 104
89208 56 83
160204 35 89
42265 21 17
45744 44 93
78147 64 118
115019 38 68
151862 27 6
20891 53 29
105207 55 94
172971 46 98
145316 55 37
102528 54 65
166843 43 45
19535 71 17
104796 59 109
97728 34 140
195833 35 148
196315 31 110
205601 56 93
131818 38 6
188213 33 106
189153 35 27
94948 37 56
11532 26 40
75684 61 75
163550 31 11
19609 43 18
50129 36 93
93074 54 36
212629 40 28
173540 44 14
193504 46 81
85993 60 144
107122 57 65
124952 47 15
46582 43 94
154200 58 71
97007 42 14
58189 27 33
122111 46 53
16053 16 140
54474 27 135
152542 32 93
70837 27 6
175453 34 29
153128 63 142
134730 59 107
46979 60 169
154871 34 135
134386 43 109
115385 46 68
75172 52 105
148814 65 144
101583 33 28
154159 55 144
71335 57 103
63235 52 142
16271 46 75
125202 46 139
79975 58 49
180557 52 82
91372 38 59
36528 19 154
181739 42 152
201636 35 21
132363 50 34
155518 53 13
131515 63 107
201292 59 106
187568 38 86
192943 67 42
125223 38 31
94740 54 105
104127 32 99
196660 33 106
158484 43 36
135984 29 107
179294 16 153
101617 22 66
74364 40 28
111884 42 151
149159 42 129
198173 50 100
144854 36 135
196395 69 61
79637 57 27
165458 58 6
32829 33 99
98196 56 84
80589 58 66
82776 70 36
218980 63 84
29592 59 19
122704 66 152
121874 36 101
164213 42 17
70925 50 94
115492 45 18
111140 62 1
137324 43 109
10641 60 32
141256 41 6
75200 38 170
6269 29 106
11992 38 73
66970 49 164
187557 44 154
58563 54 146
198868 41 40
117301 34 146
156819 57 145
71480 25 30
186654 54 107
46922 15 129
16334 60 94
55766 35 41
89074 32 72
88246 43 147
209026 36 73
125799 56 83
107785 43 85
188062 44 86
114652 62 171
157231 35 56
88971 52 159
157392 56 128
12172 32 15
173647 44 86
125437 51 31
88667 68 40
51368 54 165
160111 47 82
217385 38 87
38212 56 162
219242 47 93
126381 40 7
213714 45 69
125890 42 45
190142 32 14
122094 47 58
135571 64 17
18914 45 77
106346 66 25
21722 32 100
18265 30 6
50741 47 109
107930 46 54
65412 47 16
9067 58 173
60547 45 12
5864 24 19
52349 15 171
7058 53 102
113041 40 6
12561 42 137
214408 43 79
205139 52 172
118222 50 68
69797 51 150
198474 35 164
217250 48 156
107186 43 43
152534 55 18
48690 52 146
33303 27 147
109497 44 31
187039 35 82
180200 50 33
165814 48 99
42357 55 17
80088 59 112
143369 41 98
14974 52 164
62360 40 129
101971 33 21
169533 58 99
148450 38 109
118841 53 157
11996 53 167
124365 26 30
193813 43 30
220615 39 45
199905 58 40
181786 63 164
213663 38 134
196636 39 10
172863 61 86
25387 31 155
87934 29 87
58123 37 30
173326 52 1
63468 45 144
149950 27 18
145350 65 86
28566 51 113
175537 42 61
133246 63 76
175679 37 67
13816 52 48
161525 56 37
197449 56 112
83162 39 109
151257 38 139
172373 50 73
158403 36 71
